"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-05","1997-06-05",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Importado","1997","","SIN ESPECIFICACION","","FORD","","TRANSIT 190-L","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","No identificado","1963","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-12","2006-08-01",1064,"MORENO Nº 1","Buenos Aires","Nacional","2006","","FURGON VIDRIADO C/AS","37","RENAULT","PE","KANGOO EXPRESS GRAND CONFORT 1.9","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-12","1981-08-12",1074,"PILAR Nº 1","Buenos Aires","Importado","1980","","JEEP TODO TERRENO","092","MERCEDES BENZ","314","240 GD","1","Privado","Física","PILAR","BUENOS AIRES","Masculino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-04","2008-09-15",1078,"LA MATANZA Nº 01","Buenos Aires","Protocolo 21","2008","","MINIBUS","063","IVECO","277","DAILY 55C16 PASO 3950","1","Privado","Física","C.AUTONOMA DE BS.AS","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-18","2001-06-12",1087,"SAN ISIDRO Nº 01","Buenos Aires","Nacional","2001","","FURGON VIDRIADO C/AS","37","RENAULT","EF","KANGOO RL EXPRESS DIE DA","1","Privado","Física","BECCAR","BUENOS AIRES","Femenino","1963","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-01","1997-02-21",1106,"LA MATANZA Nº 02","Buenos Aires","Importado","1997","","CHASIS C/CAB C/CAJA","092","MERCEDES BENZ","172","914","1","Privado","Física","RAMOS MEJIA","BUENOS AIRES","Masculino","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-11","1997-09-24",1114,"CAÑUELAS","Buenos Aires","Protocolo 21","1997","","PICK UP C/CAJA MUDAN","047","FORD","111","F-100 DIESEL","1","Privado","Física","CAÑUELAS","BUENOS AIRES","No identificado","1954","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-23","1995-03-02",1119,"MORON Nº 03","Buenos Aires","Nacional","1995","","BERLINA 4 PTAS.","37","RENAULT","AJ","RENAULT 19 RN INYEC. (TRI)","1","Privado","Física","EL PALOMAR","BUENOS AIRES","Femenino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-09","2000-01-27",1124,"LANUS Nº 9","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6LTS","1","Privado","Física","LANUS","BUENOS AIRES","Femenino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-02-17","1997-01-28",1135,"LANUS Nº 4","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS","37","RENAULT","BS","CLIO RN 3PTAS. PACK AA","1","Privado","Física","LANUS ESTE","BUENOS AIRES","Femenino","1965","ARGENTINA",100,"06","ARG"
